0,0,0
0,0,0
-3.2178e-05,0.00062288,0.001272
-0.00017182,0.0015742,0.0027446
-0.00083585,0.0029357,0.0043899
-0.0013299,0.004474,0.0058272
-0.0015795,0.0060915,0.0070852
-0.0018298,0.0078003,0.008291
-0.0018584,0.0091779,0.0093889
-0.0014789,0.010966,0.010622
-0.0010465,0.012738,0.012237
-0.00072449,0.01479,0.014513
-0.00042935,0.017024,0.01713
0.00016576,0.019335,0.019876
0.0014979,0.021708,0.022994
0.0036401,0.024145,0.026651
0.0060365,0.026463,0.031112
0.0087487,0.028459,0.036027
0.011446,0.030942,0.042137
0.014309,0.03258,0.047426
0.015896,0.034559,0.050573
0.016225,0.036183,0.052813
0.017413,0.038404,0.056253
0.018787,0.041301,0.0605
0.15173,-0.0010159,0.13652
0.76802,0.015302,0.10421
2.2891,1.5135,-0.32498
3.4748,3.0393,-1.0928
3.6186,3.5545,-1.5319
3.7589,3.7501,-1.6475
3.7584,3.6571,-1.6515
3.6519,3.4804,-1.6083
3.4901,3.3159,-1.5349
3.3192,3.1859,-1.462
3.1708,3.0947,-1.4149
3.0593,3.0418,-1.3705
2.9876,3.0075,-1.3235
2.9217,2.9687,-1.2917
2.827,2.9252,-1.2302
2.7469,2.8928,-1.1692
2.6703,2.8662,-1.1078
2.5969,2.8457,-1.0434
2.5268,2.8312,-0.97489
2.4604,2.8228,-0.9041
2.3985,2.8204,-0.83103
2.3404,2.824,-0.75632
2.2867,2.8337,-0.6801
2.2378,2.8492,-0.60325
2.1934,2.8705,-0.52598
2.1536,2.8978,-0.44841
2.119,2.9306,-0.37116
2.0893,2.9693,-0.29473
2.065,3.0133,-0.21925
